sex;function;km_transport;nationality;contract_pct;base_salary;clob;nr_managers_above;manager;direct;CLA_domain;grading;maritalstatus;years_of_services;age
Man;A330 Tweede Officier;;NL;100;6,981759595;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;A330 Tweede Officier;44;NL;100;6,747505918;clob_4;4;0;0;Cockpit;grade_3;Single;0;26
Man;A330 Tweede Officier;43;NL;100;7,072163078;clob_4;4;0;0;Cockpit;grade_3;Single;4;27
Man;B737 Eerste officier;61;NL;100;7,256418254;clob_4;4;0;0;Cockpit;grade_3;Relationship;=;29
Man;B737 Eerste officier;71;NL;100;7,206537057;clob_4;4;0;0;Cockpit;grade_3;Single;4;34
Man;B737 Eerste officier;21;NL;100;7,014269065;clob_4;4;0;0;Cockpit;grade_3;Single;3;32
Man;B737 Eerste officier;61;NL;100;6,997362479;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;34
Man;B737 Eerste officier;159;NL;100;6,863984281;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;27
Man;B737 Eerste officier;48;NL;100;7,111893504;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B737 Eerste officier;17;NL;100;7,072163078;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;30
Man;B737 Eerste officier;240;NL;100;6,948242974;clob_4;4;0;0;Cockpit;grade_3;Single;3;28
Man;B737 Eerste officier;16;NL;90;7,210358783;clob_4;4;0;0;Cockpit;grade_3;Single;4;34
Man;B737 Eerste officier;14;NL;100;6,893375092;clob_4;4;0;0;Cockpit;grade_3;Single;3;29
Man;B737 Eerste officier;28;NL;100;7,250308181;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;29
Man;B737 Eerste officier;36;NL;100;6,980187019;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;30
Man;B737 Eerste officier;20;NL;100;7,038396652;clob_4;4;0;0;Cockpit;grade_3;Single;3;33
Man;B737 Eerste officier;43;NL;100;6,949862722;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;28
Man;B737 Eerste officier;;NL;100;7,030915065;clob_4;4;0;0;Cockpit;grade_3;Single;3;33
Man;B737 Eerste officier;113;NL;100;7,228018292;clob_4;4;0;0;Cockpit;grade_3;Relationship;5;27
Man;B737 Eerste officier;40;NL;100;7,050262133;clob_4;4;0;0;Cockpit;grade_3;Single;3;29
Man;B737 Eerste officier;23;NL;100;6,906935124;clob_4;4;0;0;Cockpit;grade_3;Single;3;29
Man;B737 Eerste officier;14;NL;100;7,072163078;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;30
Man;B737 Eerste officier;17;NL;100;7,10770626;clob_4;4;0;0;Cockpit;grade_3;Single;3;32
Man;B737 Eerste officier;179;NL;100;7,110499559;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B737 Eerste officier;142;NL;100;7,114676009;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B737 Eerste officier;88;NL;100;7,10770626;clob_4;4;0;0;Cockpit;grade_3;Relationship;3;33
Man;B737 Eerste officier;44;NL;100;6,989590119;clob_4;4;0;0;Cockpit;grade_3;Single;3;31
Man;B737 Eerste officier;17;NL;90;7,384949277;clob_4;4;0;0;Cockpit;grade_3;Relationship;7;34
